Department,Term,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingDurationMinutes,MeetingEnd,ShortTitle,Faculty,SectionStatus,InstructionalMethod,DeliveryMode,Group,Comments,LastEditTimestamp
"Mathematics and Statistics",24/FA,"CS",312,A,300,4, 4,"NH 295","TTH","2:10PM - 3:50PM",9/3/24,12/19/24,Full,"NH","295","2:10 PM","100","3:50 PM","Logic, Computability, and Complexity","James Turner","Open","Lecture","","","",""
"Mathematics and Statistics",SP,"DATA",304,A,300,2, 2,"NH 276","MWF","2:45PM - 3:50PM",,,First,"NH","276","2:45 PM","65","3:50 PM","Visualizing Data and Models","Randall Pruim","","","In-person","","there had been no room/time for this course in Workay.  Not sure why.","2024-10-07T16:15:56-04:00"
"Mathematics and Statistics",24/FA,"MATH",100,A,100,4, 4,"NH 295","TTH","12:15PM - 1:55PM",9/3/24,12/19/24,Full,"NH","295","12:15 PM","100","1:55 PM","Mathematics in the Contemporary World","James Turner","Open","Lecture","","","",""
"Mathematics and Statistics",FA,"MATH",110,A,100,2, 2,"NH 276","MWF","12:15PM - 1:20PM",,,Second,"NH","276","12:15 PM","65","1:20 PM","Precalculus Mathematics","Jenny Griffin","","","","","","2024-08-13T22:48:00-04:00"
"Mathematics and Statistics",25/SP,"MATH",132,A,100,4, 4,"NH 276","TTH","12:15PM - 1:55PM",1/21/25,5/8/25,Full,"NH","276","12:15 PM","100","1:55 PM","Calculus for Management, Life, and Social Sciences","James Turner","Open","Lecture","","","",""
"Mathematics and Statistics",FA,"MATH",171,A,100,4, 4,"NH 295","MWF","8:00AM - 9:05AM",,,Full,"NH","295","8:00 AM","65","9:05 AM","Calculus I","Mike Bolt","","","","","","2024-08-13T22:42:44-04:00"
"Mathematics and Statistics",SP,"MATH",171,A,100,4, 4,"NH 295","MWF","9:15AM - 10:20AM",,,Full,"NH","295","9:15 AM","65","10:20 AM","Calculus I","Chris Moseley","","","","","time change","2024-09-30T13:05:09-04:00"
"Mathematics and Statistics",24/FA,"MATH",171,B,100,4, 4,"NH 259","MWF","2:45PM - 3:50PM",9/3/24,12/19/24,Full,"NH","259","2:45 PM","65","3:50 PM","Calculus I","Timothy Pennings","Open","Lecture","","","",""
"Mathematics and Statistics",SP,"MATH",171,B,100,4, 4,"NH 253","MWF","11:00AM - 12:05PM",,,Full,"NH","253","11:00 AM","65","12:05 PM","Calculus I","Chris Moseley","","","","","fewer preps for Moseley; new time
","2024-10-07T16:07:49-04:00"
"Mathematics and Statistics",FA,"MATH",171,C,100,4, 4,"NH 295","MWF","9:15AM - 10:20AM",,,Full,"NH","295","9:15 AM","65","10:20 AM","Calculus I","Mike Bolt","","","","","","2024-08-13T22:42:53-04:00"
"Mathematics and Statistics",24/FA,"MATH",171,D,100,4, 4,"NH 259","MWF","1:30PM - 2:35PM",9/3/24,12/19/24,Full,"NH","259","1:30 PM","65","2:35 PM","Calculus I","Timothy Pennings","Open","Lecture","","","",""
"Mathematics and Statistics",FA,"MATH",171,E,100,4, 4,"NH 253","MWF","12:15PM - 1:20PM",,,Full,"NH","253","12:15 PM","65","1:20 PM","Calculus I","John Ferdinands","","","","","","2024-08-13T19:17:37-04:00"
"Mathematics and Statistics",FA,"MATH",172,A,100,4, 4,"NH 276","MWF","8:00AM - 9:05AM",,,Full,"NH","276","8:00 AM","65","9:05 AM","Calculus II","John Ferdinands","","","","","","2024-08-28T12:25:57-04:00"
"Mathematics and Statistics",25/SP,"MATH",172,A,100,4, 4,"NH 259","MWF","1:30PM - 2:35PM",1/21/25,5/8/25,Full,"NH","259","1:30 PM","65","2:35 PM","Calculus II","James Turner","Open","Lecture","","","",""
"Mathematics and Statistics",24/FA,"MATH",172,B,100,4, 4,"NH 253","MWF","1:30PM - 2:35PM",9/3/24,12/19/24,Full,"NH","253","1:30 PM","65","2:35 PM","Calculus II","John Ferdinands","Open","Lecture","","","",""
